The Darkness,5
Chris Isaak,5
Eric Clapton,5
Parachute,5
The Dave Clark Five,5
Laura Branigan,5
Pete Murray,5
Ray Stevens,5
Zoë Badwi,5
Bananarama,5
Jordin Sparks,5
"The Weeknd, Daft Punk",5
Barry Manilow,5
Gary Puckett & The Union Gap,5
UB40,5
Village People,5
Gary Glitter,5
Bobby Vinton,5
The New Seekers,5
Hoobastank,5
Neil Sedaka,5
50 Cent,5
Gerry & The Pacemakers,5
Hozier,5
Anastacia,5
The Seekers,5
Twenty One Pilots,5
MKTO,5
Kelis,5
Don McLean,5
Smokie,5
Ray Charles,5
BROODS,5
Steps,5
Boney M.,5
Bernard Fanning,5
Pitbull,4
Kasey Chambers,4
Vanessa Williams,4
Spandau Ballet,4
Ted Mulry Gang,4
Bryan Ferry,4
"Ja Rule, Ashanti",4
The Human League,4
The Chemical Brothers,4
Jackie Wilson,4
RÜFÜS DU SOL,4
Lil Nas X,4
John Williamson,4
The 1975,4
The Cure,4
The Righteous Brothers,4
Peter Allen,4
Alice Cooper,4
Ray Parker Jr.,4
Eric Carmen,4
No Mercy,4
Robert Palmer,4
1927,4
San Cisco,4
Kasabian,4
Daddy Cool,4
Alan Walker,4
"Blood, Sweat & Tears",4
Calum Scott,4
Paloma Faith,4
The Screaming Jets,4
Frank Sinatra,4
New Order,4
Meat Loaf,4
Baby Animals,4
The All-American Rejects,4
Peter Andre,4
Bazzi,4
Shakin' Stevens,4
Gary U.S. Bonds,4
Martika,4
Gorillaz,4
Sophie B. Hawkins,4
Nancy Sinatra,4
Enrique Iglesias,4
The Bangles,4
Gwen Stefani,4
Jimi Hendrix,4
Busby Marou,4
Gilbert O'Sullivan,4
Little River Band,4
Children Collide,4
"Iggy Azalea, Charli XCX",4
Tonic,4
Cutting Crew,4
Will Smith,4
Ashlee Simpson,4
DNCE,4
Alessia Cara,4
Hilary Duff,4
Cascada,4
Cliff Richard & The Shadows,4
MAGIC!,4
Barbra Streisand,4
Brook Benton,4
Jack Johnson,4
Bobby Brown,4
Morgan Evans,4
Johnny Ruffo,4
Johnny Young & Kompany,4
Bad Company,4
Noiseworks,4
"OMI, Felix Jaehn",4
Blur,4
Counting Crows,4
Ol' 55,4
Badfinger,4
Ugly Kid Joe,4
David Essex,4
Bag Raiders,4
Taio Cruz,4
Tiësto,4
East 17,4
Eiffel 65,4
Hurts,4
The Doobie Brothers,4
Angus & Julia Stone,4
Engelbert Humperdinck,4
SNAP!,4
The Cat Empire,4
Rachel Platten,4
The Black Sorrows,4
Conan Gray,4
The Searchers,4
10cc,4
Doja Cat,4
The Chainsmokers,4
Steppenwolf,4
The Clash,4
"Maroon 5, Wiz Khalifa",4
Vampire Weekend,4
Bebe Rexha,4
Ringo Starr,4
The Yardbirds,4
La Bouche,4
Pat Benatar,4
Lesley Gore,4
Peking Duk,4
Johnny Diesel & The Injectors,4
Milky Chance,4
Passion Pit,4
Bread,4
Johnny O'Keefe,4
Whitesnake,4
Bardot,4
Mondo Rock,4
Operator Please,4
Grand Funk Railroad,4
Commodores,4
WALK THE MOON,4
Steely Dan,4
Passenger,4
Pretenders,4
Fine Young Cannibals,4
Vengaboys,4
Taylor Dayne,4
Captain & Tennille,4
Back In Black,4
1910 Fruitgum Company,4
Bobby Vee,4
Models,4
Paul Anka,4
Hinder,4
Stevie Wright,4
Art vs Science,4
The Smashing Pumpkins,4
The Cardigans,4
Dean Martin,4
Paul Kelly,4
Ray Brown And The Whispers,4
Van Morrison,4
Dolly Parton,4
Sam Hunt,4
Bachelor Girl,4
Five,4
Madison Avenue,4
Jewel,4
Conway Twitty,4
Arctic Monkeys,4
Milli Vanilli,4
Steve Lawrence,4
"Shawn Mendes, Camila Cabello",4
P.J. Proby,4
"Clean Bandit, Jess Glynne",4
"Run–D.M.C., Jason Nevins",3
Tina Charles,3
Amy Winehouse,3
Timbaland,3
"Gotye, Kimbra",3
Madness,3
P.M. Dawn,3
Tate McRae,3
Mandy Moore,3
Dannii Minogue,3
Bros,3
"Wiz Khalifa, Charlie Puth",3
Colbie Caillat,3
Paul McCartney,3
JX,3
Sarah Blasko,3
Montell Jordan,3
Nitty Gritty Dirt Band,3
Wynter Gordon,3
